Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"clearText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), 0)",,,,2023-05-26 00:46:41,2023-05-26 00:46:41,0.612s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), 0)",,,,2023-05-26 00:46:41,2023-05-26 00:46:42,0.716s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), ""1234"", 0)",,,,2023-05-26 00:46:42,2023-05-26 00:46:44,1.735s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Continue Checkout - Button""), 0)",,,,2023-05-26 00:46:44,2023-05-26 00:46:44,0.682s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Last Name is required - Validation""), 0)",,,,2023-05-26 00:46:44,2023-05-26 00:46:45,0.868s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), 0)",,,,2023-05-26 00:46:45,2023-05-26 00:46:45,0.292s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), ""ainafatul"", 0)",,,,2023-05-26 00:46:45,2023-05-26 00:46:47,1.290s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), 0)",,,,2023-05-26 00:46:47,2023-05-26 00:46:47,0.652s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), ""muslikah"", 0)",,,,2023-05-26 00:46:47,2023-05-26 00:46:49,1.658s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), 0)",,,,2023-05-26 00:46:49,2023-05-26 00:46:50,0.614s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Continue Checkout - Button""), 0)",,,,2023-05-26 00:46:50,2023-05-26 00:46:50,0.761s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Postal Code is required - Validation""), 0)",,,,2023-05-26 00:46:50,2023-05-26 00:46:51,0.958s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), 0)",,,,2023-05-26 00:46:51,2023-05-26 00:46:52,0.280s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), ""ainafatul"", 0)",,,,2023-05-26 00:46:52,2023-05-26 00:46:53,1.249s,PASSED
